name,country,admin1,Mass gathering restrictions,Stay at Home Order,Educational facilities closed,Initial business closures,Non-essential services closed,Travel severely limited,Source Mass gathering restrictions,Source Stay at Home Order,Source Educational facilities closed,Source Initial business closure,Source Non-essential services closed,Source Travel severely limited
Wyoming,USA,Wyoming,20.03.2020,not implemented,19.03.2020,19.03.2020,not implemented,not implemented,https://health.wyo.gov/wp-content/uploads/2020/03/March-20-gatherings-order.pdf,,https://drive.google.com/file/d/1IXTw20VFlybIgBVBRaYvRVWnBAdpsvyk/view,https://drive.google.com/file/d/1IXTw20VFlybIgBVBRaYvRVWnBAdpsvyk/view,,
District of Columbia,USA,District of Columbia,13.03.2020,30.03.2020,16.03.2020,16.03.2020,25.03.2020,not implemented,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/release_content/attachments/DOH_Rulemaking_Mass-Gatherings.pdf,https://coronavirus.dc.gov/stayhome,https://dcps.dc.gov/coronavirus#latest,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/publication/attachments/MO-Prohibition-on-Mass-Gatherings-During-Public-Health-Emergency.pdf,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/release_content/attachments/Mayor%27s%20Order%202020-053%20Closure%20of%20Non-Essential%20Businesses%20and%20Prohibiti....pdf,
Abruzzo,Italy,Abruzzo,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Basilicata,Italy,Basilicata,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Provincia autonoma di Bolzano,Italy,P.A. Bolzano,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Calabria,Italy,Calabria,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Campania,Italy,Campania,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Emilia-Romagna,Italy,Emilia Romagna,07.03.2020,11.03.2020,01.03.2020,07.03.2020,11.03.2020,22.03.2020,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-1-marzo-2020/14210,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Friuli-Venezia Giulia,Italy,Friuli Venezia Giulia,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Lazio,Italy,Lazio,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Liguria,Italy,Liguria,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Lombardia,Italy,Lombardia,22.02.2020,08.03.2020,01.03.2020,22.02.2020,08.03.2020,08.03.2020,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-1-marzo-2020/14210,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg
Italy,Italy,Lombardia,22.02.2020,08.03.2020,01.03.2020,22.02.2020,08.03.2020,08.03.2020,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-1-marzo-2020/14210,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg
Marche,Italy,Marche,07.03.2020,11.03.2020,05.03.2020,07.03.2020,11.03.2020,22.03.2020,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Molise,Italy,Molise,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Piemonte,Italy,Piemonte,07.03.2020,11.03.2020,05.03.2020,07.03.2020,11.03.2020,22.03.2020,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,https://www.bbc.com/news/world-middle-east-51787238,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Puglia,Italy,Puglia,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Sardegna,Italy,Sardegna,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Sicilia,Italy,Sicilia,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Toscana,Italy,Toscana,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Provincia autonoma di Trento,Italy,P.A. Trento,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Umbria,Italy,Umbria,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Valle d'Aosta,Italy,Valle d'Aosta,full implementation,11.03.2020,05.03.2020,full implementation,11.03.2020,22.03.2020,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,https://www.miur.gov.it/web/guest/-/coronavirus-azzolina-attivita-didattiche-sospese-fino-al-15-marzo,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Veneto,Italy,Veneto,22.02.2020,11.03.2020,01.03.2020,22.02.2020,11.03.2020,22.03.2020,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-1-marzo-2020/14210,https://milano.repubblica.it/cronaca/2020/02/21/news/coronavirus_codogno_castiglione_d_adda_contagiati_misure_sicurezza-249154447/,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73728
Austria,Austria,,10.03.2020,16.03.2020,16.03.2020,full implementation,16.03.2020,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,https://www.ots.at/presseaussendung/OTS_20200316_OTS0057/anschober-die-naechsten-vier-wochen-entscheiden-ueber-die-groesste-gesundheitskrise-der-letzten-jahrzehnte,https://www.reuters.com/article/us-health-coronavirus-austria/austria-closing-schools-over-coronavirus-as-border-checks-take-effect-idUSKBN20Y2YC,https://www.ots.at/presseaussendung/OTS_20200316_OTS0057/anschober-die-naechsten-vier-wochen-entscheiden-ueber-die-groesste-gesundheitskrise-der-letzten-jahrzehnte,https://www.ots.at/presseaussendung/OTS_20200316_OTS0057/anschober-die-naechsten-vier-wochen-entscheiden-ueber-die-groesste-gesundheitskrise-der-letzten-jahrzehnte,
Finland,Finland,,12.03.2020,not implemented,18.03.2020,18.03.2020,04.04.2020,25.03.2020,https://www.covid19healthsystem.org/mainpage.aspx,,https://yle.fi/uutiset/osasto/news/finland_closes_schools_declares_state_of_emergency_over_coronavirus/11260062,https://www.covid19healthsystem.org/mainpage.aspx,https://vnk.fi/en/article/-/asset_publisher/ravitsemisliikkeiden-toimintaa-rajoitetaan-ja-valmiuslain-mukaisia-toimivaltuuksia-jatketaan,https://www.reuters.com/article/us-health-coronavirus-finland/finland-restricts-movement-to-and-from-capital-region-to-reduce-coronavirus-spread-idUSKBN21C3HX
Sweden,Sweden,,11.03.2020,not implemented,16.03.2020,not implemented,not implemented,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,,https://www.government.se/articles/2020/03/the-governments-work-in-the-area-of-education-in-response-to-the-coronavirus/,,,https://www.government.se/press-releases/2020/04/the-ministry-for-foreign-affairs-advises-against-travel-to-all-countries-up-to-15-june-2020/
Portugal,Portugal,,full implementation,19.03.2020,16.03.2020,16.03.2020,19.03.2020,09.04.2020,https://www.politico.eu/article/portugal-quarantine-measures-coronavirus-covid19-antonio-costa-shutdown-state-of-emergency/,https://www.politico.eu/article/portugal-quarantine-measures-coronavirus-covid19-antonio-costa-shutdown-state-of-emergency/,https://dre.pt/home/-/dre/130243053/details/maximized,https://www.covid19healthsystem.org/mainpage.aspx,https://www.politico.eu/article/portugal-quarantine-measures-coronavirus-covid19-antonio-costa-shutdown-state-of-emergency/,https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=governo-limita-circulacao-intermunicipal-no-periodo-da-pascoa
Croatia,Croatia,,09.03.2020,17.03.2020,16.03.2020,full implementation,19.03.2020,23.03.2020,https://www.covid19healthsystem.org/mainpage.aspx,https://www.hzjz.hr/wp-content/uploads/2020/03/letak_samoizolacija.pdf,https://www.vecernji.hr/vijesti/plenkovic-hrvatska-i-svijet-u-ratu-su-protiv-virusa-i-panike-1385524,"https://www.reuters.com/article/us-health-coronavirus-croatia/croatia-closes-most-services-shops-fighting-coronavirus-idUSKBN21538C; https://vlada.gov.hr/UserDocsImages//Vijesti/2020/03%20o%C5%BEujak/18%20o%C5%BEujka//Odluka%20-%20mjere%20ograni%C4%8Davanja%20dru%C5%A1tvenih%20okupljanja,%20rada%20trgovina.pdf","https://www.reuters.com/article/us-health-coronavirus-croatia/croatia-closes-most-services-shops-fighting-coronavirus-idUSKBN21538C; https://vlada.gov.hr/UserDocsImages//Vijesti/2020/03%20o%C5%BEujak/18%20o%C5%BEujka//Odluka%20-%20mjere%20ograni%C4%8Davanja%20dru%C5%A1tvenih%20okupljanja,%20rada%20trgovina.pdf",https://hr.usembassy.gov/covid-19-information-2/
Netherlands,Netherlands,,10.03.2020,not implemented,15.03.2020,12.03.2020,not implemented,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,,https://www.reuters.com/article/us-health-coroavirus-netherlands/netherlands-to-close-schools-restaurants-in-coronavirus-fight-idUSKBN2120KG,https://www.covid19healthsystem.org/mainpage.aspx,,
Belgium,Belgium,,13.03.2020,18.03.2020,14.03.2020,13.03.2020,18.03.2020,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures,https://www.belgium.be/en/news/2020/coronavirus_phase_2_maintained_transition_federal_phase_and_additional_measures,https://www.covid19healthsystem.org/mainpage.aspx,https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures,
Slovakia,Slovakia,,12.03.2020,not implemented,12.03.2020,full implementation,16.03.2020,08.04.2020,http://www.uvzsr.sk/index.php?option=com_content&view=article&id=4082:informacia-k-zakazu-organizova-anusporaduva-hromadne-podujatia-portovej-kulturnej-spoloenskej-i-inej-povahy&catid=250:koronavirus-2019-ncov&Itemid=153,,https://www.reuters.com/article/us-health-coronavirus-slovakia/slovakia-closes-schools-stops-international-travel-to-battle-coronavirus-idUSKBN20Z20R,https://spectator.sme.sk/c/22359303/new-measures-national-emergency-and-further-limits-to-business.html,https://spectator.sme.sk/c/22359303/new-measures-national-emergency-and-further-limits-to-business.html,https://spectator.sme.sk/c/22378841/slovakia-to-fine-people-for-non-essential-easter-travels.html
Lithuania,Lithuania,,full implementation,15.03.2020,16.03.2020,14.03.2020,15.03.2020,not implemented,https://www.lrt.lt/naujienos/lietuvoje/2/1151427/skvernelis-pranese-kad-sestadieni-bus-priimtas-sprendimas-del-karantino-salies-mastu,https://www.lrt.lt/naujienos/lietuvoje/2/1151427/skvernelis-pranese-kad-sestadieni-bus-priimtas-sprendimas-del-karantino-salies-mastu,http://lrv.lt/lt/naujienos/visoje-lietuvoje-del-koronaviruso-dviem-savaitems-uzdaromos-svietimo-istaigos,https://www.covid19healthsystem.org/mainpage.aspx,https://www.lrt.lt/naujienos/lietuvoje/2/1151427/skvernelis-pranese-kad-sestadieni-bus-priimtas-sprendimas-del-karantino-salies-mastu,
Latvia,Latvia,,13.03.2020,not implemented,12.03.2020,not implemented,not implemented,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,,https://www.reuters.com/article/us-health-coronavirus-lithuania/lithuania-and-latvia-close-schools-ban-large-public-gatherings-over-coronavirus-idUSKBN20Z25W,,,
Estonia,Estonia,,13.03.2020,not implemented,16.03.2020,13.03.2020,not implemented,not implemented,https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus,,https://www.reuters.com/article/us-health-coronavirus-estonia/estonia-closes-schools-bans-public-events-over-coronavirus-idUSKBN2100RQ,https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus,,
Poland,Poland,,10.03.2020,24.03.2020,12.03.2020,31.03.2020,not implemented,not implemented,https://zdrowie.trojmiasto.pl/Odwolano-wszystkie-imprezy-masowe-n143077.html,https://www.premier.gov.pl/en/news/news/prime-minister-in-the-battle-against-the-coronavirus-we-must-reduce-our-mobility-to-an.html,https://www.premier.gov.pl/en/news/news/prime-minister-we-have-decided-to-close-all-educational-institutions-and-universities.html,,,
Czechia,Czechia,,10.03.2020,16.03.2020,10.03.2020,10.03.2020,14.03.2020,not implemented,https://www.mzcr.cz/dokumenty/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-na_18698_4107_1.html,https://www.vlada.cz/cz/media-centrum/aktualne/rozoceni-vlady-o-zakazu-volneho-pohybu-osob-180358/,https://www.vlada.cz/en/media-centrum/aktualne/due-to-the-spread-of-coronavirus--the-government-has-banned-cultural--sporting-and-social-events-involving-over-100-people--schools-are-to-be-closed-180201/,https://www.mzcr.cz/dokumenty/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-na_18698_4107_1.html,https://www.vlada.cz/en/media-centrum/aktualne/the-government-is-strengthening-preventive-measures-in-relation-to-the-coronavirus--closing-shops-and-restaurants-to-the-public-for-ten-days-180337/,
Slovenia,Slovenia,,12.03.2020,20.03.2020,16.03.2020,full implementation,15.03.2020,16.03.2020,https://www.covid19healthsystem.org/mainpage.aspx,https://www.gov.si/en/news/2020-03-19-ordinance-on-the-temporary-prohibition-of-public-gathering-at-public-meetings-and-public-events-and-other-events-in-public-places-in-the-republic-of-slovenia/,https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/,https://www.gov.si/en/news/2020-03-15-decisions-adopted-by-the-government-to-contain-covid-19-epidemic/,https://www.gov.si/en/news/2020-03-15-decisions-adopted-by-the-government-to-contain-covid-19-epidemic/,https://www.gov.si/en/news/2020-03-15-the-government-adopts-an-ordinance-on-the-temporary-ban-and-restrictions-on-public-transport-of-passengers-in-the-republic-of-slovenia/
Denmark,Denmark,,18.03.2020,not implemented,16.03.2020,18.03.2020,not implemented,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,https://www.reuters.com/article/us-health-coronavirus-denmark/denmark-extends-coronavirus-lockdown-until-april-13-idUSKBN21A2DV,https://politi.dk/coronavirus-i-danmark/in-english/new-measures-against-covid-19,https://www.covid19healthsystem.org/mainpage.aspx,https://www.dr.dk/nyheder/politik/faa-overblikket-over-de-nye-corona-tiltag-se-hvad-du-ikke-maa-fra-i-dag-klokken-10,https://www.covid19healthsystem.org/countries/denmark/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section
Norway,Norway,,12.03.2020,not implemented,12.03.2020,12.03.2020,not implemented,not implemented,https://www.helsedirektoratet.no/nyheter/the-norwegian-directorate-of-health-has-issued-a-decision-to-close-schools-and-other-educational-institutions,,https://helsenorge.no/koronavirus/barnehager-og-skoler,https://www.helsedirektoratet.no/nyheter/the-norwegian-directorate-of-health-has-issued-a-decision-to-close-schools-and-other-educational-institutions,,
Switzerland,Switzerland,,28.02.2020,not implemented,13.03.2020,full implementation,16.03.2020,not implemented,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-78289.html,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,https://www.bsg.ox.ac.uk/research/publications/variation-government-responses-covid-19
Hungary,Hungary,,12.03.2020,28.03.2020,16.03.2020,12.03.2020,16.03.2020,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,https://koronavirus.gov.hu/cikkek/megjelent-kijarasi-korlatozasrol-szolo-rendelet,https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe,https://www.covid19healthsystem.org/mainpage.aspx,https://www.reuters.com/article/us-health-coronavirus-bulgaria-emergency/bulgaria-closes-schools-restricts-travel-over-coronavirus-idUSKBN21015D,
Bulgaria,Bulgaria,,13.03.2020,17.03.2020,13.03.2020,full implementation,13.03.2020,21.03.2020,https://www.reuters.com/article/us-health-coronavirus-bulgaria-emergency/bulgaria-closes-schools-restricts-travel-over-coronavirus-idUSKBN21015D,https://www.covid19healthsystem.org/countries/bulgaria/countrypage.aspx,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,https://www.covid19healthsystem.org/countries/bulgaria/countrypage.aspx
Romania,Romania,,06.03.2020,23.03.2020,11.03.2020,full implementation,21.03.2020,not implemented,https://www.covid19healthsystem.org/mainpage.aspx,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-3-din-24-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19,https://www.bsg.ox.ac.uk/research/publications/variation-government-responses-covid-19,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19,https://www.reuters.com/article/health-coronavirus-romania/romania-imposes-curfew-to-slow-coronavirus-spread-idUSL8N2BE0XD
